file,size,iter,time,mem
tree_sum,28,0,0.40,36164
nat_fib_tailcall,56,0,13.47,39600
list_length_tailcall,24,0,0.02,16336
list_dropeven,28,0,0.07,16728
list_last2,40,0,0.03,17668
nat_mul,27,0,1.61,42480
tree_height,23,0,0.51,36012
nat_sub,29,0,0.12,38788
list_sum_tailcall,32,0,0.04,17772
list_append_tailcall,51,0,0.16,24128
expr_boolean,59,0,6.74,64024
list_range,60,0,0.23,35416
expr_sub,51,0,3.51,47444
list_make,14,0,0.02,16520
expr,36,0,0.73,39312
tree_balanced,46,0,8.65,42852
nat_fac_tailcall,27,0,2.06,42712
expr_div,66,0,25.87,89824
tree_notexist,79,0,23.71,31132
tree_lastleft,21,0,0.18,29848
