file,size,iter,time,mem
list_sum_tailcall,32,0,0.05,17960
tree_balanced,N/A,N/A,120,31080
list_last2,40,0,0.03,17696
expr,N/A,N/A,120,64360
expr_div,N/A,N/A,120,129812
tree_height,N/A,N/A,120,36160
expr_boolean,N/A,N/A,120,113528
list_range,60,0,1.28,36176
nat_mul,27,0,4.99,42744
nat_sub,29,0,0.12,38756
list_length_tailcall,24,0,0.02,16356
expr_sub,N/A,N/A,120,114688
nat_fib_tailcall,56,0,17.38,39968
list_dropeven,28,0,0.03,16744
list_append_tailcall,51,0,0.11,24124
list_make,14,0,0.02,16572
tree_lastleft,21,0,0.20,29836
tree_notexist,N/A,N/A,120,36160
nat_fac_tailcall,27,0,27.71,65364
tree_sum,28,0,0.47,33408
