file,size,iter,time,mem
expr_sub,N/A,N/A,120,71256
nat_mul,27,0,1.59,42472
tree_height,N/A,N/A,120,36152
tree_sum,28,0,0.41,33428
nat_fac_tailcall,27,0,1.85,42704
list_last2,40,0,0.03,17708
expr_div,N/A,N/A,120,187620
list_make,14,0,0.02,16560
nat_sub,29,0,0.11,38744
list_sum_tailcall,32,0,0.04,17784
list_length_tailcall,24,0,0.02,16356
tree_notexist,N/A,N/A,120,36156
list_range,60,0,1.40,36164
expr,36,0,8.87,39284
list_dropeven,28,0,0.03,16748
expr_boolean,N/A,N/A,120,71280
tree_lastleft,21,0,0.17,29860
list_append_tailcall,51,0,0.10,24140
tree_balanced,N/A,N/A,120,31056
nat_fib_tailcall,56,0,13.70,39516
