file,size,iter,time,mem
tree_balanced,46,0,9.32,42888
nat_fib_tailcall,56,0,16.74,39792
expr_boolean,56,0,8.89,64076
tree_lastleft,21,0,0.17,29852
list_append_tailcall,51,0,0.10,24168
list_dropeven,28,0,0.03,16776
tree_notexist,79,0,25.11,33496
expr,34,0,33.80,47840
list_range,60,0,0.23,36176
expr_div,N/A,N/A,120,129800
nat_sub,29,0,0.13,38756
list_make,14,0,0.02,16572
list_sum_tailcall,32,0,0.05,17964
list_length_tailcall,24,0,0.02,16384
nat_fac_tailcall,27,0,26.50,64792
list_last2,40,0,0.04,17692
tree_height,23,0,0.57,35592
tree_sum,28,0,0.55,33492
expr_sub,N/A,N/A,120,102100
nat_mul,27,0,5.26,42880
