file,size,iter,time,mem
tree_sum,28,5,7.66,27416
nat_fib_tailcall,N/A,N/A,120,42032
list_length_tailcall,24,4,0.41,19148
list_dropeven,28,6,0.33,18416
list_last2,40,7,0.56,18932
nat_mul,27,6,0.80,40192
tree_height,23,6,8.24,32028
nat_sub,29,6,0.24,38444
list_sum_tailcall,32,5,0.68,24336
list_append_tailcall,N/A,N/A,120,25660
expr_boolean,59,14,26.72,70796
list_range,49,7,0.88,36332
expr_sub,51,12,27.61,52364
list_make,14,3,0.02,16440
expr,36,9,3.90,39524
tree_balanced,N/A,N/A,120,64124
nat_fac_tailcall,N/A,N/A,120,14052
expr_div,N/A,N/A,120,100152
tree_notexist,79,8,9.44,25672
tree_lastleft,21,6,7.50,23420
