file,size,iter,time,mem
list_sum_tailcall,32,5,0.78,23888
tree_balanced,N/A,N/A,120,36320
list_last2,40,7,0.52,18912
expr,N/A,N/A,120,71468
expr_div,N/A,N/A,120,230492
tree_height,23,5,8.18,27912
expr_boolean,N/A,N/A,120,71360
list_range,49,7,3.46,36356
nat_mul,27,6,1.22,39192
nat_sub,29,6,0.24,38456
list_length_tailcall,24,4,0.39,19220
expr_sub,N/A,N/A,120,142156
nat_fib_tailcall,N/A,N/A,120,39424
list_dropeven,28,6,0.38,18844
list_append_tailcall,N/A,N/A,120,25660
list_make,14,3,0.02,16476
tree_lastleft,21,6,7.81,24312
tree_notexist,N/A,N/A,120,25596
nat_fac_tailcall,N/A,N/A,120,14068
tree_sum,28,5,8.38,27256
