file,size,iter,time,mem
expr_sub,N/A,N/A,120,63984
nat_mul,27,6,0.88,40232
tree_height,23,5,8.13,29160
tree_sum,28,5,7.88,27424
nat_fac_tailcall,N/A,N/A,120,14044
list_last2,40,7,0.62,19220
expr_div,N/A,N/A,120,121608
list_make,14,3,0.02,16476
nat_sub,29,6,0.27,38456
list_sum_tailcall,32,5,0.70,24368
list_length_tailcall,24,4,0.40,19164
tree_notexist,N/A,N/A,120,24232
list_range,49,7,3.56,36360
expr,36,9,9.86,39556
list_dropeven,28,6,0.34,18892
expr_boolean,N/A,N/A,120,52312
tree_lastleft,21,6,7.36,24292
list_append_tailcall,N/A,N/A,120,25656
tree_balanced,N/A,N/A,120,39504
nat_fib_tailcall,N/A,N/A,120,36236
