file,size,iter,time,mem
tree_balanced,N/A,N/A,120,57844
nat_fib_tailcall,N/A,N/A,120,39432
expr_boolean,N/A,N/A,120,89592
tree_lastleft,21,6,7.69,23388
list_append_tailcall,N/A,N/A,120,25672
list_dropeven,28,6,0.34,18824
tree_notexist,79,8,9.82,24380
expr,36,13,28.49,52536
list_range,49,7,0.85,35920
expr_div,N/A,N/A,120,156156
nat_sub,29,6,0.24,38456
list_make,14,3,0.02,16476
list_sum_tailcall,32,5,0.77,23872
list_length_tailcall,24,4,0.40,19164
nat_fac_tailcall,N/A,N/A,120,14044
list_last2,40,7,0.54,19236
tree_height,23,6,8.26,30936
tree_sum,28,5,7.99,27280
expr_sub,N/A,N/A,120,128796
nat_mul,27,6,1.23,39180
