+ --------------------------------------------------------------------------------------------------- +
| Test                    | Trio_Time | Trio_Size | Burst_Time | Burst_Size | Smyth_Time | Smyth_Size |
+ --------------------------------------------------------------------------------------------------- +
| bool_always_false       | 0.09      | 4         | 0.02       | 4          | 0.02       | 4          |
| bool_always_true        | 0.01      | 4         | 0.02       | 4          | 0.02       | 4          |
| bool_band               | 0.01      | 14        | 0.02       | 14         | 0.02       | 23         |
| bool_bor                | 0.01      | 14        | 0.02       | 14         | 0.02       | 23         |
| bool_impl               | 0.01      | 13        | 0.02       | 13         | 0.02       | 23         |
| bool_neg                | 0.01      | 8         | 0.02       | 8          | 0.02       | 8          |
| bool_xor                | 0.02      | 20        | 0.02       | 20         | 0.02       | 27         |
| list_append             | 0.05      | 44        | 0.15       | 31         | 0.02       | 33         |
| list_compress           | 0.14      | 56        | 0.74       | 56         | 120        | N/A        |
| list_concat             | 0.04      | 19        | 0.03       | 19         | 0.03       | 17         |
| list_drop               | 0.03      | 31        | 2.78       | 24         | 0.05       | 32         |
| list_even_parity        | 0.02      | 25        | 0.05       | 23         | 0.03       | 22         |
| list_filter             | 0.03      | 47        | 0.31       | 46         | 0.08       | 44         |
| list_fold               | 0.08      | 38        | 0.13       | 43         | 1.42       | 49         |
| list_hd                 | 0.02      | 10        | 0.02       | 10         | 0.02       | 9          |
| list_inc                | 0.03      | 18        | 0.02       | 18         | 0.03       | 12         |
| list_last               | 0.03      | 22        | 0.02       | 22         | 0.02       | 19         |
| list_length             | 0.02      | 13        | 0.02       | 13         | 0.02       | 12         |
| list_map                | 0.03      | 37        | 0.03       | 37         | 0.39       | 51         |
| list_nth                | 0.04      | 33        | 1.99       | 33         | 0.07       | 34         |
| list_pairwise_swap      | 0.03      | 38        | 0.32       | 38         | 0.02       | 27         |
| list_rev_append         | 0.08      | 35        | 1.32       | 22         | 0.06       | 20         |
| list_rev_fold           | 0.01      | 10        | 0.03       | 10         | 0.04       | 15         |
| list_rev_snoc           | 0.05      | 18        | 1.43       | 18         | 0.02       | 16         |
| list_rev_tailcall       | 0.02      | 37        | 0.17       | 43         | 0.02       | 33         |
| list_snoc               | 0.03      | 36        | 1.90       | 36         | 0.03       | 37         |
| list_sort_sorted_insert | 0.04      | 18        | 0.08       | 18         | 0.02       | 16         |
| list_sorted_insert      | 0.46      | 60        | 120        | N/A        | 1.53       | 55         |
| list_stutter            | 0.02      | 23        | 4.30       | 23         | 0.03       | 21         |
| list_sum                | 0.01      | 10        | 0.08       | 10         | 0.04       | 10         |
| list_take               | 0.04      | 38        | 120        | N/A        | 0.04       | 38         |
| list_tl                 | 0.06      | 9         | 0.02       | 9          | 0.02       | 9          |
| nat_add                 | 0.11      | 22        | 0.04       | 22         | 0.02       | 27         |
| nat_iseven              | 0.02      | 16        | 0.06       | 16         | 0.02       | 13         |
| nat_max                 | 0.19      | 23        | 0.27       | 23         | 0.07       | 34         |
| nat_pred                | 0.01      | 7         | 0.02       | 7          | 0.02       | 7          |
| tree_binsert            | 1.59      | 87        | 3.53       | 87         | 120        | N/A        |
| tree_collect_leaves     | 0.06      | 27        | 0.49       | 27         | 0.04       | 24         |
| tree_count_leaves       | 0.06      | 22        | 0.24       | 22         | 0.48       | 25         |
| tree_count_nodes        | 0.14      | 22        | 0.11       | 22         | 0.18       | 20         |
| tree_inorder            | 0.12      | 27        | 8.21       | 27         | 0.07       | 24         |
| tree_map                | 0.07      | 47        | 0.41       | 49         | 0.94       | 61         |
| tree_nodes_at_level     | 0.83      | 47        | 35.52      | 47         | 120        | N/A        |
| tree_postorder          | 0.47      | 32        | 3.21       | 32         | 120        | N/A        |
| tree_preorder           | 0.11      | 27        | 0.10       | 27         | 0.09       | 24         |
| expr_boolean            | 6.78      | 59        | 0.58       | 52         | 120        | N/A        |
| expr                    | 0.67      | 36        | 120        | N/A        | 120        | N/A        |
| expr_sub                | 3.48      | 51        | 120        | N/A        | 11.46      | 58         |
| expr_div                | 26.99     | 66        | 120        | N/A        | 120        | N/A        |
| list_dropeven           | 0.03      | 28        | 120        | N/A        | 0.05       | 25         |
| list_last2              | 0.04      | 40        | 0.11       | 39         | 0.09       | 29         |
| list_make               | 0.02      | 14        | 0.78       | 14         | 0.01       | 13         |
| list_range              | 0.24      | 60        | 120        | N/A        | 120        | N/A        |
| nat_mul                 | 1.70      | 27        | 120        | N/A        | 109.46     | 31         |
| nat_sub                 | 0.13      | 29        | 8.34       | 29         | 0.04       | 30         |
| tree_balanced           | 80.76     | 45        | 120        | N/A        | 120        | N/A        |
| tree_height             | 4.33      | 36        | 120        | N/A        | 101.81     | 29         |
| tree_lastleft           | 0.19      | 21        | 0.03       | 21         | 0.03       | 18         |
| tree_notexist           | 24.20     | 79        | 0.79       | 79         | 120        | N/A        |
| tree_sum                | 0.36      | 28        | 35.56      | 28         | 0.47       | 25         |
| list_append_tailcall    | 0.11      | 51        | 120        | N/A        | 0.02       | 33         |
| list_length_tailcall    | 0.02      | 24        | 0.06       | 24         | 0.02       | 30         |
| list_sum_tailcall       | 0.04      | 32        | 3.33       | 32         | 0.04       | 31         |
| nat_fac_tailcall        | 2.04      | 27        | 120        | N/A        | 120        | N/A        |
| nat_fib_tailcall        | 14.01     | 56        | 120        | N/A        | 120        | N/A        |
+ --------------------------------------------------------------------------------------------------- +
