Test,Trio_Time,Trio_termination
bool_always_false,0.52,0
bool_always_true,0.03,0
bool_band,0.03,0.00001
bool_bor,0.03,0.00000
bool_impl,0.03,0.00000
bool_neg,0.02,0.00001
bool_xor,0.03,0.00001
list_append,0.06,0.00038
list_compress,0.14,0.00057
list_concat,0.07,0.00001
list_drop,0.06,0.00007
list_even_parity,0.04,0.00002
list_filter,0.04,0.00019
list_fold,0.09,0.00007
list_hd,0.04,0.00001
list_inc,0.04,0.00001
list_last,0.04,0.00002
list_length,0.04,0.00001
list_map,0.05,0.00004
list_nth,0.05,0.00005
list_pairwise_swap,0.04,0.00015
list_rev_append,0.10,0.00112
list_rev_fold,0.03,0
list_rev_snoc,0.05,0.00001
list_rev_tailcall,0.03,0.00007
list_snoc,0.04,0.00004
list_sort_sorted_insert,0.06,0.00001
list_sorted_insert,0.48,0.00935
list_stutter,0.04,0.00005
list_sum,0.03,0
list_take,0.06,0.00018
list_tl,0.03,0.00001
nat_add,0.12,0.00001
nat_iseven,0.03,0.00001
nat_max,0.21,0.00020
nat_pred,0.03,0.00001
tree_binsert,1.39,0.01612
tree_collect_leaves,0.08,0.00003
tree_count_leaves,0.07,0.00003
tree_count_nodes,0.16,0.00005
tree_inorder,0.14,0.00006
tree_map,0.09,0.00025
tree_nodes_at_level,0.87,0.00691
tree_postorder,0.50,0.00044
tree_preorder,0.13,0.00004
expr_boolean,6.02,0.00010
expr,0.67,0.00005
expr_sub,3.46,0.00053
expr_div,27.08,0.00015
list_dropeven,0.04,0.00005
list_last2,0.04,0.00002
list_make,0.03,0.00001
list_range,0.27,0.00296
nat_mul,1.77,0.01587
nat_sub,0.14,0.00011
tree_balanced,113.69,2.06442
tree_height,4.28,0.03848
tree_lastleft,0.21,0.00004
tree_notexist,26.22,1.46781
tree_sum,0.42,0.00009
list_append_tailcall,0.12,0.00216
list_length_tailcall,0.03,0.00001
list_sum_tailcall,0.05,0.00010
nat_fac_tailcall,2.21,0.00011
nat_fib_tailcall,15.91,0.03672
