Test,Trio_Time,Trio_termination
bool_always_false,0.03,0
bool_always_true,0.02,0
bool_band,0.03,0.00001
bool_bor,0.03,0.00001
bool_impl,0.03,0.00000
bool_neg,0.02,0.00001
bool_xor,0.02,0.00001
list_append,0.44,0.00007
list_compress,1.33,0.00230
list_concat,1.05,0.00003
list_drop,0.42,0.00015
list_even_parity,0.12,0.00005
list_filter,1.08,0.00027
list_fold,1.01,0.00014
list_hd,0.21,0.00001
list_inc,0.40,0.00002
list_last,0.35,0.00003
list_length,0.34,0.00002
list_map,0.63,0.00010
list_nth,0.38,0.00015
list_pairwise_swap,0.39,0.00020
list_rev_append,1.02,0.00019
list_rev_fold,0.68,0
list_rev_snoc,1.01,0.00002
list_rev_tailcall,120,N/A
list_snoc,0.39,0.00004
list_sort_sorted_insert,1.57,0.00003
list_sorted_insert,0.99,0.00935
list_stutter,0.42,0.00004
list_sum,0.76,0
list_take,0.40,0.00049
list_tl,0.19,0.00001
nat_add,0.15,0.00003
nat_iseven,0.03,0.00003
nat_max,0.32,0.00028
nat_pred,0.03,0.00001
tree_binsert,8.05,0.03620
tree_collect_leaves,6.07,0.00005
tree_count_leaves,5.77,0.00005
tree_count_nodes,8.88,0.00008
tree_inorder,7.99,0.00005
tree_map,5.69,0.00094
tree_nodes_at_level,5.09,0.01515
tree_postorder,8.51,0.00046
tree_preorder,8.62,0.00013
expr_boolean,27.57,0.00050
expr,3.78,0.00040
expr_sub,27.18,0.00046
expr_div,120,N/A
list_dropeven,0.39,0.00015
list_last2,0.56,0.00013
list_make,0.03,0.00002
list_range,1.02,0.02654
nat_mul,0.86,0.00007
nat_sub,0.28,0.00030
tree_balanced,20.28,0.10587
tree_height,8.01,0.00014
tree_lastleft,7.53,0.00013
tree_notexist,9.68,0.11387
tree_sum,7.99,0.00012
list_append_tailcall,120,N/A
list_length_tailcall,0.36,0.00003
list_sum_tailcall,0.67,0.00006
nat_fac_tailcall,120,N/A
nat_fib_tailcall,120,N/A
