cardinality of set,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
bool_band,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0022000000000000006,0.0024000000000000002,0.0030999999999999995,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0010000000000000002,0.0010000000000000002,0.012599999999999998,0.030199999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bool_bor,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0022,0.0023,0.0029999999999999996,0.0030999999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0010000000000000002,0.008100000000000001,0.013800000000000002,0.030199999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bool_impl,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0020000000000000005,0.0026999999999999997,0.0034999999999999996,0.0030999999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0013000000000000004,0.0035999999999999986,0.0092,0.0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bool_neg,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0021000000000000003,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
