cardinality of set,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
bool_band,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.007799999999999997,0.0026999999999999997,0.0030999999999999995,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0014000000000000004,0.0010000000000000002,0.02,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,275844,275600,276044,276488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,144100,144344,155156,160252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bool_bor,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0022,0.003,0.0034999999999999996,0.0031999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0014000000000000002,0.0099,0.0141,0.0293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,276480,276328,276180,275728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,144488,149044,152092,159740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bool_impl,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0031000000000000003,0.0027,0.0032999999999999995,0.0045000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0014000000000000002,0.0068,0.019799999999999998,0.0324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,276504,276116,275960,276400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,144344,147404,155164,160112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bool_neg,,,,,,,,,,,,,,,,,,,,,
